,batter_id,batter_mlbname
3442,544369.0,Didi Gregorius
3364,0.0,Brandon Drury
3320,435522.0,Neil Walker
3270,545341.0,Randal Grichuk
3199,431145.0,Russell Martin
3154,607680.0,Kevin Pillar
3085,592122.0,Tyler Austin
2998,458731.0,Brett Gardner
2816,649557.0,Aledmys Diaz
633,0.0,Tyler Wade
227,456665.0,Steve Pearce
3958,514917.0,Cesar Hernandez
3915,467793.0,Carlos Santana
3872,608384.0,Nick Williams
3864,656555.0,Rhys Hoskins
3805,571437.0,Aaron Altherr
3796,542255.0,Ender Inciarte
3737,645277.0,Ozzie Albies
3683,518692.0,Freddie Freeman
3656,455976.0,Nick Markakis
3636,641487.0,J.P. Crawford
3575,596748.0,Maikel Franco
3511,595284.0,Andrew Knapp
3428,452095.0,Tyler Flowers
3422,435559.0,Kurt Suzuki
3380,605512.0,Preston Tucker
3365,621020.0,Dansby Swanson
3297,0.0,Aaron Nola
3186,475247.0,Ryan Flaherty
3151,0.0,Julio Teheran
1263,0.0,Lane Adams
383,0.0,Pedro Florimon
262,518586.0,Charlie Culberson
36110,624428.0,Adam Frazier
36063,543281.0,Josh Harrison
36010,570256.0,Gregory Polanco
36000,605137.0,Josh Bell
35954,547982.0,Leonys Martin
35913,600869.0,Jeimer Candelario
35849,408234.0,Miguel Cabrera
35807,592206.0,Nicholas Castellanos
35751,400121.0,Victor Martinez
35713,0.0,James McCann
35696,572816.0,Corey Dickerson
35677,516782.0,Starling Marte
35607,465041.0,Francisco Cervelli
35560,543484.0,Mikie Mahtook
35545,578428.0,Jose Iglesias
35497,553988.0,Dixon Machado
35330,592567.0,Colin Moran
35304,474568.0,Jordy Mercer
33113,592444.0,JaCoby Jones
3933,457706.0,Austin Jackson
3916,605412.0,Joe Panik
3891,457705.0,Andrew McCutchen
3835,457763.0,Buster Posey
3753,621035.0,Chris Taylor
3664,608369.0,Corey Seager
3600,624577.0,Yasiel Puig
3532,571771.0,Enrique Hernandez
3479,446334.0,Evan Longoria
3457,452254.0,Hunter Pence
3397,474832.0,Brandon Belt
3381,543063.0,Brandon Crawford
3329,0.0,Ty Blach
3267,641355.0,Cody Bellinger
3193,461314.0,Matt Kemp
3140,518735.0,Yasmani Grandal
3094,523253.0,Logan Forsythe
2963,0.0,Clayton Kershaw
1781,491676.0,Gorkys Hernandez
1261,400284.0,Chase Utley
611,467055.0,Pablo Sandoval
401,592626.0,Joc Pederson
3949,451594.0,Dexter Fowler
3941,502054.0,Tommy Pham
3912,572761.0,Matt Carpenter
3856,607043.0,Brandon Nimmo
3801,493316.0,Yoenis Cespedes
3717,457803.0,Jay Bruce
3658,453943.0,Todd Frazier
3610,542303.0,Marcell Ozuna
3570,500874.0,Jose Martinez
3546,425877.0,Yadier Molina
3492,657557.0,Paul DeJong
3421,543939.0,Kolten Wong
3389,408236.0,Adrian Gonzalez
3306,608700.0,Kevin Plawecki
3246,0.0,Noah Syndergaard
3236,642708.0,Amed Rosario
2920,452678.0,Asdrubal Cabrera
2859,0.0,Carlos Martinez
1205,527038.0,Wilmer Flores
979,622168.0,Yairo Munoz
497,0.0,Juan Lagares
36122,594809.0,Adam Eaton
36101,543685.0,Anthony Rendon
36058,547180.0,Bryce Harper
36016,475582.0,Ryan Zimmerman
35967,435062.0,Howard Kendrick
35888,608385.0,Jesse Winker
35844,553993.0,Eugenio Suarez
35829,458015.0,Joey Votto
35786,607208.0,Trea Turner
35747,572191.0,Michael Taylor
35703,446308.0,Matt Wieters
35684,571697.0,Scooter Gennett
35633,594988.0,Scott Schebler
35572,571466.0,Tucker Barnhart
35537,606299.0,Jose Peraza
35461,0.0,Max Scherzer
35225,0.0,Homer Bailey
35178,571740.0,Billy Hamilton
33830,571718.0,Brian Goodwin
33685,594807.0,Adam Duvall
33237,571431.0,Matt Adams
33209,519023.0,Devin Mesoraco
33160,640447.0,Phil Ervin
35678,450314.0,Ben Zobrist
35576,0.0,Kyle Hendricks
35138,0.0,Caleb Smith
32889,605170.0,Victor Caratini
32839,0.0,Jarlin Garcia
32801,0.0,Eddie Butler
32684,592407.0,Bryan Holaday
32634,0.0,Odrisamer Despaigne
35582,571974.0,John Ryan Murphy
35375,0.0,Tyler Anderson
35359,0.0,Robbie Ray
33838,642162.0,Pat Valaika
35589,0.0,Derek Fisher
35340,545358.0,Max Stassi
34065,605204.0,J.D. Davis
36116,435079.0,Ian Kinsler
35876,0.0,Jake Smolinski
35482,455759.0,Chris Young
35273,640461.0,Chad Pinder
35551,0.0,Jhoulys Chacin
35404,0.0,Joey Lucchesi
33568,0.0,Matt Szczur
35813,641856.0,Billy McKinney
35690,500208.0,Yangervis Solarte
35962,546318.0,Odubel Herrera
35624,664068.0,Scott Kingery
35388,0.0,Nick Pivetta
35183,0.0,Mike Foltynewicz
33923,0.0,Chris Stewart
32913,595751.0,Jorge Alfaro
32855,0.0,Peter Bourjos
35478,0.0,Johnny Cueto
35357,0.0,Alex Wood
34130,605509.0,Kelby Tomlinson
46929,519048.0,Mitch Moreland
46578,571788.0,Brock Holt
46513,506702.0,Sandy Leon
46192,605480.0,Mallex Smith
46084,491696.0,Jesus Sucre
46653,0.0,Yu Darvish
46599,0.0,Paulo Orlando
43609,572365.0,Ryan Goins
47016,434658.0,Rajai Davis
46974,446386.0,Brandon Guyer
43625,0.0,Daniel Vogelbach
46686,547172.0,Tony Wolters
46449,425772.0,Jeff Mathis
46437,0.0,Zack Greinke
46330,0.0,German Marquez
46307,0.0,Juan Centeno
45916,592685.0,Drew Robinson
43474,595777.0,Jurickson Profar
46806,527043.0,Jefry Marte
46576,0.0,Rene Rivera
46198,0.0,Bruce Maxwell
46719,0.0,Jett Bandy
46683,0.0,Brent Suter
46619,570799.0,Christian Villanueva
46011,0.0,Luis Perdomo
44768,0.0,Robbie Erlin
46811,501303.0,Ehire Adrianza
46497,0.0,Anthony Santander
44028,642082.0,Chance Sisco
46663,571912.0,Luke Maile
46650,0.0,Gift Ngoepe
46559,0.0,Vincent Velasquez
46389,0.0,Brandon McCarthy
58199,592348.0,Niko Goodrum
58141,501896.0,David Freese
57975,446481.0,Sean Rodriguez
57872,622682.0,Victor Reyes
57842,553869.0,Elias Diaz
46706,453923.0,Gregor Blanco
46605,0.0,Derek Holland
46479,605131.0,Austin Barnes
46124,0.0,Kenta Maeda
44645,460026.0,Nick Hundley
46860,0.0,Travis d'Arnaud
46508,0.0,Jacob deGrom
46185,0.0,Michael Wacha
44375,0.0,Robert Gsellman
44155,594824.0,Greg Garcia
43239,576397.0,Jedd Gyorko
46708,0.0,Stephen Strasburg
46201,0.0,Luis Castillo
45427,0.0,Phil Gosselin
44390,0.0,Cliff Pennington
58102,596119.0,Blake Swihart
57730,0.0,Jose Quintana
57518,0.0,Dillon Peters
83087,521692.0,Salvador Perez
82671,594953.0,Daniel Palka
79039,553882.0,Omar Narvaez
58122,547379.0,Roberto Perez
58191,641598.0,Mitch Garver
58106,609280.0,Miguel Andujar
58001,519222.0,Austin Romine
58085,543308.0,John Hicks
57919,0.0,Chris Stratton
57701,0.0,Rich Hill
57756,0.0,Luke Weaver
57596,0.0,Steven Matz
55199,408314.0,Jose Reyes
58070,0.0,Miguel Montero
58023,0.0,Gio Gonzalez
57979,594694.0,Wilmer Difo
57589,0.0,Sal Romano
50371,0.0,Brian Johnson
50177,0.0,Trevor Richards
50367,0.0,Tyler Chatwood
50248,0.0,Tyler Mahle
50610,0.0,Chad Bettis
50462,454560.0,A.J. Ellis
50454,0.0,Bryan Mitchell
50438,0.0,Hyun-Jin-Ryu
50220,0.0,Taijuan Walker
47420,0.0,Wilmer Font
47412,0.0,Fernando Salas
50271,0.0,Jameson Taillon
49999,0.0,Lance Lynn
50402,0.0,Miles Mikolas
50278,0.0,Zach Davies
50470,600474.0,Pedro Severino
50415,0.0,Tanner Roark
49855,0.0,Sean Newcomb
28911,0.0,Chris Sale
150855,594011.0,Rosell Herrera
149753,607468.0,Alex Blandino
148614,0.0,Tony Cruz
29442,573135.0,Tyler Saladino
26701,570481.0,Erik Gonzalez
29127,0.0,Kyle Freeland
28893,0.0,Tyson Ross
28938,0.0,Zack Godley
27401,0.0,Jorge De La Rosa
29155,0.0,Matt Harvey
28085,0.0,Ben Lively
29339,0.0,Marco Gonzales
26989,461865.0,Andrew Romine
29402,0.0,Jack Flaherty
27547,664056.0,Harrison Bader
29217,0.0,A.J. Cole
200171,501659.0,Abraham Almonte
9385,0.0,Ivan Nova
9234,0.0,Jake Odorizzi
9543,0.0,Felix Hernandez
7522,0.0,Taylor Motter
9244,0.0,Ronal Torreyes
9298,0.0,Carlos Perez
14940,0.0,Adam Wainwright
15218,0.0,Steven Brault
16086,624424.0,Michael Conforto
11966,0.0,Brandon Woodruff
11447,0.0,Josh Hader
12354,0.0,Trevor Williams
12498,488726.0,Michael Brantley
82902,571970.0,Max Muncy
82798,0.0,Walker Buehler
82273,596103.0,Austin Slater
78737,0.0,Derek Law
78678,593700.0,Alen Hanson
121109,0.0,Anibal Sanchez
121529,607054.0,Jace Peterson
121043,0.0,Chad Kuhl
117480,0.0,J.T. Chargois
117688,0.0,Jake Thompson
119424,0.0,Matt Reynolds
117529,0.0,Ryan Schimpf
94179,0.0,Christian Walker
95809,0.0,Jake Arrieta
172988,572287.0,Mike Zunino
172856,592325.0,Ben Gamel
172795,0.0,Gordon Beckham
67790,0.0,Cody Reed
65276,621433.0,Brett Phillips
223796,0.0,Efren Navarro
224656,0.0,Tyler Beede
221777,643396.0,Isiah Kiner-Falefa
224973,0.0,Shane Robinson
222208,0.0,Tzu-Wei Lin
224985,0.0,Sean Manaea
223715,572204.0,Trayce Thompson
222489,592192.0,Mark Canha
165600,0.0,Andrew Suarez
163786,0.0,Moises Sierra
162750,0.0,Raisel Iglesias
165765,0.0,Junior Guerra
164128,0.0,Dan Jennings
165760,0.0,Zack Wheeler
166011,0.0,Daniel Mengden
166680,614173.0,Franchy Cordero
163850,0.0,Antonio Senzatela
267899,607345.0,Kevan Smith
267723,605508.0,Charles Tilson
266523,0.0,Gregorio Petit
109606,0.0,Jose Lobaton
109778,543776.0,J.B. Shuck
110056,608597.0,Ronald Guzman
110055,493329.0,Yulieski Gurriel
110421,606192.0,Teoscar Hernandez
369072,593871.0,Jorge Polanco
369006,595909.0,Jake Cave
368638,0.0,Willians Astudillo
73995,0.0,Paul Sewald
245721,595885.0,Greg Bird
245555,0.0,Clint Frazier
245423,650402.0,Gleyber Torres
75193,0.0,Brandon Finnegan
74355,0.0,Austin Brice
103511,0.0,Lourdes Gurriel
173410,660670.0,Ronald Acuna
173175,430832.0,Jose Bautista
171084,622666.0,Johan Camargo
245520,500135.0,Ronny Rodriguez
25609,444432.0,Mark Trumbo
25392,572073.0,Joey Rickard
25366,0.0,Andrew Susac
4647,0.0,Jacob Nottingham
4614,0.0,Jorge Lopez
5117,0.0,Max Moroff
6210,600524.0,Renato Nunez
6067,0.0,Jeremy Hellickson
87722,0.0,Luis Sardinas
83555,0.0,Scott Alexander
87254,592663.0,J.T. Realmuto
87567,0.0,Brandon Snyder
89641,656185.0,Greg Allen
89026,0.0,Enny Romero
31189,641933.0,Tyler O'Neill
32170,0.0,Matt Wisler
31828,0.0,Tyler Glasnow
197033,0.0,Mike Montgomery
199343,0.0,Matt Koch
196443,0.0,Brad Hand
200056,0.0,Mac Williamson
68697,0.0,Hector Neris
54235,621311.0,David Dahl
53177,0.0,Chris Rusin
176287,0.0,Hansel Robles
110861,0.0,Wandy Peralta
110529,0.0,Jordan Lyles
97765,0.0,Amir Garrett
212940,591741.0,Jose Osuna
212379,0.0,Matt Boyd
211141,0.0,Michael Gerber
99665,0.0,Eric Lauer
213123,0.0,Jordan Zimmermann
211061,0.0,Warwick Saupold
210218,0.0,Corey Oswalt
212425,0.0,Jeff Samardzija
20164,0.0,Drew Hutchison
20783,0.0,Michael Fulmer
18457,0.0,John Gant
146622,0.0,Max Fried
148180,445988.0,Martin Prado
82514,0.0,Wei-Yin Chen
82248,0.0,Jason Vargas
80771,0.0,Seth Lugo
140035,608671.0,Travis Jankowski
142894,0.0,Nick Kingham
64113,0.0,Ross Stripling
64059,0.0,Dan Straily
182099,0.0,Mike Soroka
181507,0.0,James Shields
181739,0.0,Zach Eflin
170329,0.0,Lucas Giolito
169867,0.0,Pedro Baez
170180,0.0,Wade Miley
103447,519306.0,Steven Souza Jr.
125868,0.0,Gerrit Cole
124892,0.0,Kris Medlen
125428,0.0,Dalton Pompey
194631,0.0,Charlie Morton
193605,0.0,Lucas Sims
153481,0.0,Carson Kelly
156940,0.0,Grayson Greiner
157035,0.0,Justin Verlander
157370,0.0,Jabari Blash
156972,435064.0,Bobby Wilson
155384,0.0,Sam Freeman
157208,0.0,Anthony Alford
21682,0.0,Tyler Cloyd
22979,0.0,Fernando Romero
134593,0.0,Corey Kluber
134512,0.0,Nick Franklin
134706,0.0,Andrew Heaney
116523,0.0,Carlos Carrasco
116187,0.0,Pete Kozma
114493,641583.0,Dustin Fowler
116307,0.0,Jaime Barria
58705,0.0,Luiz Gohara
185472,0.0,Hector Santiago
183970,0.0,Dominic Smith
336033,643446.0,Jeff McNeil
334780,596451.0,Roman Quinn
130186,0.0,Freddy Peralta
130772,448602.0,Mark Reynolds
172269,0.0,Jackson Stephens
173029,614177.0,Franmil Reyes
172810,641531.0,Hunter Dozier
207861,0.0,Reynaldo Lopez
206870,0.0,Chris Beck
208839,457759.0,Justin Turner
208517,0.0,Masahiro Tanaka
206080,665742.0,Juan Soto
207929,0.0,Jaime Garcia
217090,643393.0,Tony Kemp
258899,0.0,Sonny Gray
258728,0.0,Erick Fedde
257625,502517.0,Daniel Murphy
216789,0.0,Giovanny Urshela
216755,0.0,J.A. Happ
25751,0.0,Christian Arroyo
152003,571851.0,Spencer Kieboom
42383,0.0,Josh Phegley
42493,640457.0,Austin Meadows
150342,0.0,Kevin Shackelford
229710,0.0,Clay Buchholz
229945,466320.0,Melky Cabrera
105863,0.0,Ian Kennedy
204506,642715.0,Willy Adames
204118,0.0,Trevor Bauer
204045,0.0,Brock Stewart
204287,0.0,Jason Hammel
190618,0.0,Socrates Brito
190218,0.0,Adam Plutko
188263,0.0,Andrew Miller
190323,0.0,Jake Junis
190394,0.0,John Andreoli
190160,0.0,Franklin Barreto
220938,0.0,Joe Musgrove
221007,0.0,Sam Gaviglio
161498,0.0,Dustin Pedroia
161395,593993.0,Jose Briceno
160840,456124.0,Erik Kratz
157906,0.0,Jerry Blevins
161323,595375.0,J.T. Riddle
139189,0.0,Chris Herrmann
135718,0.0,Brian Duensing
177541,0.0,Chris Gimenez
174125,0.0,Pedro Strop
236343,0.0,Michael Lorenzen
237807,0.0,Dereck Rodriguez
241338,0.0,Tim Federowicz
239034,572228.0,Luke Voit
289347,592200.0,Curt Casali
286858,0.0,Austin Gomber
286290,592230.0,Kaleb Cowart
230763,0.0,Sam Travis
521652,656775.0,Cedric Mullins
520836,642851.0,Austin Wynns
244547,0.0,Kristopher Negron
266940,0.0,Madison Bumgarner
267389,0.0,Alex Cobb
266840,0.0,Anthony DeSclafani
267066,0.0,Nathan Eovaldi
275422,0.0,Matt Strahm
273428,0.0,Kirby Yates
275366,0.0,Dylan Bundy
274722,0.0,Daniel Hudson
273106,605361.0,Nick Martini
272304,0.0,Seranthony Dominguez
275212,0.0,Ryan Yarbrough
253667,628336.0,Jose Miguel Fernandez
251622,0.0,Mark Leiter
253489,641343.0,Jake Bauers
293423,0.0,Luis Severino
279495,0.0,Tom Murphy
276273,0.0,Braden Shipley
279904,0.0,Bartolo Colon
279578,0.0,Caleb Ferguson
262720,664058.0,David Fletcher
262925,0.0,Cole Hamels
259460,0.0,Jesse Chavez
294383,0.0,John Brebbia
298370,0.0,Corban Joseph
295003,0.0,Jose Castillo
246491,643603.0,Tyler White
258615,609275.0,Adalberto Mondesi
283337,0.0,David Hess
284471,0.0,Paul Blackburn
304275,0.0,Andrew Cashner
303024,0.0,Shawn Kelley
304171,0.0,Frankie Montas
312936,0.0,Danny Santana
312508,0.0,Shane Bieber
309645,0.0,Neil Ramirez
312424,0.0,Keon Broxton
312212,0.0,Danny Duffy
312312,0.0,Luis Cessa
309470,0.0,Felipe Vazquez
300671,0.0,Pablo Lopez
300497,0.0,Shelby Miller
300521,451192.0,Jim Adduci
386982,593528.0,Jorge Bonifacio
387529,0.0,Raimel Tapia
383796,0.0,Jordan Luplow
444538,0.0,Kyle Tucker
444975,621453.0,Steven Duggar
440880,0.0,Chase d'Arnaud
441368,0.0,Andrew Kittredge
445565,0.0,Dilson Herrera
446514,0.0,Andrew Toles
449424,0.0,Matt den Dekker
448689,0.0,Jake Petricka
439418,0.0,Felix Pena
439443,0.0,Edwin Jackson
440099,0.0,Trevor Plouffe
439550,0.0,Christian Bergman
439263,0.0,Jeff Hoffman
436854,0.0,Ty Kelly
324652,0.0,Willie Calhoun
324279,650490.0,Yandy Diaz
324416,0.0,Ryder Jones
320333,0.0,Matt Bowman
395712,0.0,Kevin Gausman
330230,0.0,Michael Reed
332341,0.0,Daniel Poncedeleon
270996,516472.0,Francisco Arcia
268272,0.0,Mason Williams
270909,642423.0,Magnueris Sierra
270714,0.0,Tommy Milone
359089,0.0,Garrett Hampson
350696,0.0,Brett Anderson
319516,0.0,Martin Perez
354957,656811.0,Ryan O'Hearn
355093,0.0,Kolby Allard
338952,458913.0,Eric Young
379554,542364.0,Rafael Ortega
378576,0.0,Touki Toussaint
338575,0.0,Darnell Sweeney
407127,0.0,Ramon Laureano
407325,0.0,Chris Archer
432215,0.0,Lance McCullers
430489,0.0,Brad Peacock
429362,0.0,Dakota Hudson
375335,0.0,Dustin Garneau
375119,664040.0,Brandon Lowe
344110,0.0,Tommy Hunter
344092,0.0,Yoshihisa Hirano
396370,0.0,Dallas Keuchel
316185,0.0,Jacob Nix
340821,0.0,Casey Kelly
378819,0.0,Mike Clevinger
379037,0.0,Danny Jansen
391687,621493.0,Taylor Ward
391730,621573.0,Austin Dean
359954,0.0,Matt Andriese
327938,0.0,Brett Kennedy
470080,0.0,Kevin Newman
469078,0.0,Matt Grace
501529,0.0,Robert Stephenson
371400,0.0,Matt Holliday
465328,0.0,Alec Mills
465865,0.0,Erasmo Ramirez
521271,0.0,Wade LeBlanc
563632,0.0,Rio Ruiz
565713,0.0,Mike Leake
565395,0.0,Yovani Gallardo
562123,0.0,Justin Miller
561901,0.0,Luis Urias
560386,0.0,Yonny Chirinos
473704,0.0,Roenis Elias
475039,0.0,Diego Castillo
474029,0.0,Jalen Beeks
403896,0.0,Dawel Lugo
421134,0.0,Chris Shaw
421008,0.0,Aaron Sanchez
556062,0.0,Marco Estrada
476680,0.0,Pablo Reyes
479424,0.0,Adam Moore
479550,0.0,Sean Reid-Foley
412160,0.0,Victor Robles
412821,0.0,Rowdy Tellez
412754,0.0,Francisco Mejia
483956,0.0,Peter O'Brien
428360,0.0,Joe Ross
426538,0.0,Terrance Gore
425129,0.0,Brandon Barnes
424977,0.0,Brandon Phillips
424548,0.0,Ryan Cordell
422352,0.0,Christin Stewart
546900,0.0,Patrick Kivlehan
546574,0.0,Adam Rosales
428285,0.0,Jeff Brigham
513044,0.0,Ryan Lavarnway
456253,0.0,DJ Stewart
428427,0.0,Sandy Alcantara
400399,0.0,Yohander Mendez
495468,0.0,Jarrod Saltalamacchia
495624,0.0,Ariel Jurado
411197,0.0,Brad Keller
460268,0.0,Eric Skoglund
528539,0.0,Julio Urias
526814,0.0,Brian Flynn
538560,0.0,Heath Fillmyer
368119,0.0,Jerad Eickhoff
366511,0.0,David Wright
365719,0.0,Jung Ho Kang
506744,0.0,Daniel Norris
505337,0.0,Corbin Burnes
542757,0.0,Spencer Turnbull
540005,0.0,Michael Feliz
498017,0.0,Corey Knebel
543843,0.0,Ryan Madson
557653,0.0,Rick Porcello
440553,0.0,Eduardo Rodriguez
450120,0.0,David Price
